run,step,quality,metric,mean,std,n
rbm4b,100,success,spearman,-0.17063403781979977,0.0,1
rbm4b,100,success,mae,0.33900786296774943,0.0,1
rbm4b,100,failure,spearman,0.02059820283215021,0.0,1
rbm4b,100,failure,mae,0.31778322495520117,0.0,1
rbm4b,600,success,spearman,-0.5341490545050055,0.0,1
rbm4b,600,success,mae,0.44081234391778706,0.0,1
rbm4b,600,failure,spearman,-0.12291753646576593,0.0,1
rbm4b,600,failure,mae,0.38603258853157363,0.0,1
ckpt400,100,success,spearman,-0.0460511679644049,0.0,1
ckpt400,100,success,mae,0.398792475881055,0.0,1
ckpt400,100,failure,spearman,0.2910615617586442,0.0,1
ckpt400,100,failure,mae,0.25151686345537505,0.0,1
ckpt400,600,success,spearman,0.5688542825361512,0.0,1
ckpt400,600,success,mae,0.19941811158011358,0.0,1
ckpt400,600,failure,spearman,0.5984673496775815,0.0,1
ckpt400,600,failure,mae,0.2418356613566478,0.0,1
